RowId,Label,Df_Tbl_Index,DefaultParts,Price,Year,RegulationDisplacementFlags,Maker,Category,GeneralFlags,ConceptCarType,OpenModel,NoChangeWheel,NoChangeWing,SuperchargerOriginally
21,_117_coupe_68,2698,36,38900,1968,13314,56,0,3,0,0,0,1,0
22,_147_20_twinspark_02,2699,36,30590,2002,775,3,0,0,0,0,0,0,0
25,_300zx_2seat_us_98,2702,36,39900,1998,6658,28,0,0,0,0,0,0,0
27,_500_f_65,2704,36,20770,1965,3079,12,0,1,0,0,0,1,0
28,alpine_a110_16s_73,2705,36,60200,1973,6,86,0,1,0,0,0,0,0
29,altoworks_sport_ltd_97,2706,36,11150,1997,9218,39,0,0,0,0,0,0,0
31,camaro_z28_302_69,2708,36,65000,1969,1795,7,0,0,0,0,0,1,0
32,camaro_z28_coupe_97,2709,36,24110,1997,1795,7,0,0,0,0,0,0,0
35,celica_ss2_97,2712,36,21360,1997,9986,43,0,0,0,0,0,0,0
36,chevelle_ss_454_ls6_70,2713,36,70000,1970,1795,7,0,1,0,0,0,0,0
37,civic_sir2_93,2714,36,16380,1993,3842,15,0,0,0,0,0,0,0
38,clio_renaultsport_20_02,2715,36,29700,2002,8198,34,0,0,0,0,0,0,0
40,corvette_gs_96,2717,36,45900,1996,1795,7,0,0,0,0,0,0,0
41,corvette_l46_350_69,2718,36,71500,1969,1795,7,0,0,0,0,0,0,0
42,crossfire_04,2719,36,35670,2004,2051,8,0,0,0,0,0,0,0
43,cuda_440_6_71,2720,36,58360,1971,13059,55,0,0,0,0,0,0,0
45,dodge_viper_gtsr_oreca_00,2648,36,1000000,2000,2819,11,1,0,0,0,1,1,0
46,elise2000_00,2723,36,41060,2000,5124,20,0,16,0,0,0,0,0
49,focus_rs_02,2726,36,41410,2002,3331,13,0,0,0,0,0,0,0
50,ford_gt_concept_gulf_02,2653,36,1000000,2002,3331,13,1,0,0,0,0,1,0
51,fto_gpr_97,2728,36,21600,1997,6402,25,0,0,0,0,0,0,0
52,giulia_sprint_gta_65,2729,36,113010,1965,775,3,0,1,0,0,0,1,0
53,golf_gti_01,2730,36,31800,2001,10757,46,0,0,0,0,0,0,0
55,gtr_concept_lm_01,2658,36,1500000,2002,6658,28,1,0,0,0,1,1,0
56,impreza_wrc_03,2659,36,750000,2003,8962,38,1,0,0,0,1,1,0
57,impreza_wrx_pro_01,2734,36,31450,2001,8962,38,0,0,0,0,0,0,0
58,impreza_wrx_sti_02,2735,36,28950,2002,8962,38,0,0,0,0,0,0,0
59,ka_01,2736,36,12920,2001,3331,13,0,0,0,0,0,0,0
60,lancer_evo7_gsr_01,2737,36,29980,2001,6402,25,0,0,0,0,0,0,0
62,lancer_evo8_gsr_03,2739,36,32980,2003,6402,25,0,0,0,0,0,0,0
63,levin_gt_apex_83,2740,36,15360,1983,9986,43,0,0,0,0,0,0,0
65,mini_cooper_s_02,2742,36,26790,2002,12036,51,0,0,0,0,0,0,1
66,mira_tr_xx_avar_97,2743,36,11140,1997,2562,10,0,0,0,0,0,0,0
67,nsx_r_proto_lm_01,2670,36,1500000,2002,3842,15,1,0,0,0,0,0,0
68,nsx_s_zero_97,2745,36,98570,1997,3842,15,0,0,0,0,0,0,0
69,pontiac_gto_389_348_64,2746,36,52600,1964,12291,52,0,0,0,0,0,1,0
70,pontiac_vibe_gt_03,2747,36,21120,2003,12291,52,0,0,0,0,0,0,0
71,prelude_s_96,2748,36,26530,1996,3842,15,0,0,0,0,0,0,0
75,rx8_lm_01,2678,36,550000,2001,5634,21,1,0,0,0,0,1,0
76,rx8_tmv_01,2753,36,0,2001,5634,21,3,0,0,0,0,0,0
77,s13_ks_88,2754,36,18860,1988,6658,28,0,0,0,0,0,0,0
79,ssr_03,2756,36,44560,2003,1795,7,0,16,0,1,0,0,0
80,storia_x4_98,2757,36,13900,2000,2562,10,0,2,0,0,0,0,0
81,sunfire_gxp_02,2758,36,0,2002,12291,52,3,1,0,0,0,0,1
82,supra_rz_97,2759,36,43900,1997,9986,43,0,0,0,0,0,0,0
85,will_vs_01,2762,36,20500,2001,9986,43,0,0,0,0,0,0,0
87,_147_gta_02,2764,36,48040,2002,775,3,0,0,0,0,0,0,0
89,prius_g_touring_03,2769,36,25700,2003,9986,43,0,0,0,0,0,0,0
90,prius_g_02,2770,36,22800,2002,9986,43,0,0,0,0,0,0,0
92,crx_15i_83,2791,36,12700,1983,3842,15,0,0,0,0,0,0,0
93,city_turbo2_83,2792,36,12380,1983,3842,15,0,0,0,0,0,0,0
95,piazza_xe_81,2794,36,24650,1981,13314,56,0,0,0,0,0,0,0
96,delta_s4_wrc_85,2817,36,1250000,1985,4615,18,1,1,0,0,1,1,0
99,eclipse_gt_95,2797,36,21420,1995,6402,25,0,0,0,0,0,0,0
101,_240rs_gpb_rally_85,2819,36,150000,1985,6658,28,1,1,0,0,1,1,0
102,r31_skyline_gtsr_87,2798,36,34000,1987,6658,28,0,0,0,0,0,0,0
104,sileighty_xx,2800,36,22880,1998,2,0,0,0,0,0,0,0,0
105,_205_t16_wrc_ev2_86,2813,36,1250000,1986,7686,32,1,1,0,0,1,1,0
106,_5_maxi_turbo_rally_85,2820,36,1250000,1985,8198,34,1,1,0,0,1,1,0
107,celica_xx_2800gt_81,2801,36,23230,1981,9986,43,0,0,0,0,0,0,0
108,celica_2000gt_r_86,2802,36,20770,1986,9986,43,0,0,0,0,0,0,0
109,mr2_1600_glim_sc_86,2803,36,21000,1986,9986,43,0,0,0,0,0,0,1
111,celica_gt_four_rc_91,2815,36,31710,1991,9986,43,0,0,0,0,0,0,0
112,levin_bzr_98,2805,36,18900,1998,9986,43,0,0,0,0,0,0,0
113,trueno_bzr_98,2806,36,18900,1998,9986,43,0,0,0,0,0,0,0
114,panoz_esperante_race_98,2787,36,4500000,1998,7427,31,1,0,0,0,1,1,0
115,r390_race_98,2788,36,4500000,1998,6658,28,1,2,0,0,1,1,0
118,legacy_wgn_20gt_b_03,2821,36,30300,2003,8962,38,0,0,0,0,0,0,0
119,legacy_sdn_20gt_b_03,2822,36,28800,2003,8962,38,0,0,0,0,0,0,0
121,impreza_wrc_99,2828,36,750000,1999,8962,38,1,1,0,0,1,1,0
122,legacy_gtb_96,2830,36,29330,1996,8962,38,0,0,0,0,0,0,0
123,legacy_b4_rsk_98,2832,36,25880,1998,8962,38,0,0,0,0,0,0,0
124,legacy_b4_blitzen_00,2834,36,30000,2000,8962,38,0,0,0,0,0,0,0
125,legacy_wgn_30r_03,2836,36,30000,2003,8962,38,0,0,0,0,0,0,0
126,legacy_b4_30r_03,2838,36,28500,2003,8962,38,0,0,0,0,0,0,0
127,_1300_coupe_9s_70,2840,36,12800,1970,3842,15,0,0,0,0,0,0,0
130,insight_mt_99,2843,36,21000,1999,3842,15,0,0,5,0,0,0,0
131,n360_67,2844,36,36000,1967,3842,15,0,1,0,0,0,1,0
132,odyssey_l_4wd_03,2845,36,28650,2003,3842,15,0,0,0,0,0,0,0
134,prelude_sir_96,2847,36,21830,1996,3842,15,0,0,0,0,0,0,0
135,s800_66,2848,36,58000,1966,3842,15,0,17,0,1,0,1,0
136,today_g_85,2849,36,6700,1985,3842,15,0,0,0,0,0,0,0
137,beat_91,2850,36,13800,1991,3842,15,0,16,0,1,0,0,0
138,takata_dome_nsx_03,2851,36,1350000,2003,3842,15,1,0,0,0,1,1,0
139,raybrig_nsx_00,2852,36,1350000,2000,3842,15,1,0,0,0,1,1,0
140,castrol_nsx_00,2853,36,1350000,2000,3842,15,1,0,0,0,1,1,0
141,arta_nsx_00,2854,36,1350000,2000,3842,15,1,0,0,0,1,1,0
142,loctite_nsx_01,2855,36,1350000,2001,3842,15,1,0,0,0,1,1,0
143,mobil_nsx_01,2856,36,1350000,2001,3842,15,1,0,0,0,1,1,0
144,arta_garaiya_03,2868,36,500000,2003,11010,47,1,0,0,0,1,1,0
145,copen_activetop_02,2869,36,14980,2002,2562,10,0,16,0,1,0,0,0
146,midget2_d_type_98,2870,36,5740,1998,2562,10,0,0,0,0,0,1,0
148,spoon_fit_03,2872,36,50000,2003,3842,37,1,0,0,0,1,1,0
149,kusabi_concept_03,2873,36,0,2003,5634,21,3,1,0,0,0,1,1
150,lancer_1600gsr_73,2874,36,14200,1973,6402,25,0,0,0,0,0,0,0
151,lancer_evo_gsr_92,2875,36,27380,1992,6402,25,0,0,0,0,0,0,0
153,eclipse_spyder_gts_03,2877,36,26780,2003,6402,25,0,16,0,0,0,0,0
154,hsr2_concept_89,2878,36,0,1989,6402,25,3,1,0,0,0,1,0
155,i_concept_03,2879,36,0,2003,6402,25,3,1,0,0,0,1,0
156,bluebird_1600dx_67,2880,36,25700,1969,6658,28,0,1,0,0,0,1,0
157,cube_ex_2wd_02,2881,36,14420,2002,6658,28,0,0,0,0,0,1,0
158,march_g_2wd_3dr_99,2882,36,13080,1999,6658,28,0,0,0,0,0,0,0
161,xanavi_nismo_gtr_03,2885,36,1350000,2003,6658,28,1,0,0,0,1,1,0
162,cusco_impreza_03,2886,36,500000,2003,8962,38,1,0,0,0,1,1,0
163,concept_s2_03,2887,36,0,2003,9218,39,3,17,0,0,0,0,0
167,celica_1600gt_70,2891,36,23900,1970,9986,43,0,1,0,0,0,0,0
169,woodone_supra_03,2893,36,1350000,2003,9986,43,1,0,0,0,1,1,0
170,a112_abarth_79,2894,36,39430,1979,13575,57,0,1,0,0,0,0,0
171,c5_v6_exclusive_03,2895,36,42830,2003,2310,9,0,0,0,0,0,0,0
172,panda_super_ie_90,2896,36,14600,1990,3079,12,0,0,0,0,0,0,0
173,_5_turbo_80,2897,36,74500,1980,8198,34,0,1,0,0,0,0,0
176,cerbera_speed6_97,2900,36,79880,1997,10244,44,0,0,0,0,0,0,0
178,lupo_gti_cup_03,2902,36,50000,2003,10757,46,1,0,0,0,1,1,0
179,_1100_standard_type11_49,2903,36,40000,1949,10757,46,0,1,0,0,0,1,0
180,impreza_wrx_sti1_94,2971,36,27780,1994,8962,38,0,0,0,0,0,0,0
181,au_supra_01,2974,36,1350000,2001,9986,43,1,0,0,0,1,1,0
182,pennzoil_gtr_01,2975,36,1350000,2001,6658,28,1,0,0,0,1,1,0
183,mrs_autobacs_00,2976,36,500000,2000,9986,43,1,0,0,0,1,1,0
184,razo_silvia_01,2977,36,500000,2001,6658,28,1,0,0,0,1,1,0
185,_350z_03,2978,36,33000,2003,6658,28,0,0,0,0,0,0,0
187,tuscan_speed6_00,2980,36,94050,2000,10244,44,0,16,0,0,0,0,0
189,r_gt_00,2982,36,143250,2000,8453,35,0,0,0,0,0,1,0
190,beetle_cup_00,2983,36,50000,2000,10757,46,1,0,0,0,1,1,0
191,lupo_cup_00,2984,36,50000,2000,10757,46,1,0,0,0,1,1,0
192,mm_r_tmv_01,2985,36,50000,2001,6658,28,1,1,0,0,1,1,0
193,trial_celica_ss2_03,2992,36,100000,2003,9986,90,2,0,0,0,0,1,1
194,murao_rx7_03,2993,36,200000,2003,5634,21,2,0,0,0,1,1,0
197,vitz_rs15_00,2999,36,14530,2000,9986,43,0,0,0,0,0,0,0
198,colt_15_sportx_02,3000,36,14950,2002,6402,25,0,0,0,0,0,0,0
199,demio_sport_03,3001,36,14500,2003,5634,21,0,0,0,0,0,0,0
200,fit_w_ff_01,3002,36,12600,2001,3842,15,0,0,0,0,0,0,0
203,integra_r_98,3005,36,23580,1998,3842,15,0,0,0,0,0,0,0
204,civic_r_98,3006,36,19980,1998,3842,15,0,0,0,0,0,0,0
205,rx7_spiritr_a_02,3007,36,39980,2002,5634,21,0,0,0,0,0,0,0
206,rx8_types_03,3008,36,27500,2003,5634,21,0,0,0,0,0,0,0
207,mr2_gts_97,3009,36,27130,1997,9986,43,0,0,0,0,0,0,0
209,sl55_amg_02,3011,36,168120,2002,5893,22,0,16,0,1,0,0,1
210,r34_gtr_v2_nur_02,3012,36,61000,2002,6658,28,0,0,0,0,0,0,0
211,lancer_evo5_gsr_98,3013,36,32480,1998,6402,25,0,0,0,0,0,0,0
212,ford_gt_concept_dmv_02,3014,36,0,2002,3331,13,3,1,0,0,0,0,1
213,spoon_civic_00,3015,36,75000,2000,3842,37,2,0,0,0,0,0,0
214,spoon_s2000_race_00,3016,36,200000,2000,3842,37,1,0,0,0,1,1,0
215,nismo_fairlady_z_ztune_03,3017,36,150000,2003,6658,27,2,0,0,0,0,1,0
216,mclaren_f1_gtr_long_97,3018,36,3500000,1997,1541,6,1,1,0,0,1,1,0
217,focus_wrc_99,3019,36,750000,1999,3331,13,1,0,0,0,1,1,0
219,mtr_gmv_04,3063,36,0,2004,9986,43,103,1,2,2,1,1,0
222,trd_celica_sportm_00,3127,36,25500,2000,9986,92,2,0,0,0,0,0,0
223,lancer_evo4_wrc_97,3128,36,750000,1997,6402,25,1,1,0,0,1,1,0
225,castrol_supra_00,3147,36,1350000,2000,9986,43,1,0,0,0,1,1,0
226,castrol_supra_01,3148,36,1350000,2001,9986,43,1,0,0,0,1,1,0
228,denso_supra_00,3151,36,1350000,2000,9986,43,1,0,0,0,1,1,0
230,rsc_tmv_lm_01,3149,36,1250000,2002,9986,43,1,0,0,0,0,1,0
232,vitz_euro_00,3154,36,12880,2000,9986,43,0,0,0,0,0,0,0
233,mines_evo6_00,3157,36,150000,2000,6402,24,2,0,0,0,0,0,0
234,mines_r34_00,3158,36,200000,2000,6658,24,2,0,0,0,0,1,0
278,_350z_roadster_03,4067,36,36000,2003,6658,28,0,16,0,1,0,0,0
279,_240zg_71,4060,36,55000,1971,6658,28,0,1,0,0,0,0,0
281,_120i_04,3185,36,31940,2004,1541,6,0,0,0,0,0,0,0
282,pescarolo_c60_lmp1_04,3186,36,4500000,2004,7686,77,1,0,0,0,1,1,0
283,opel_vectra_32v6_jp_03,3187,36,36530,2003,6917,29,0,0,0,0,0,0,0
284,kei_works_4wd_02,3188,36,14140,2002,9218,39,0,0,0,0,0,0,0
285,taurus_sho_98,3189,36,27510,1998,3331,13,0,0,0,0,0,0,0
289,civic_r_01,3194,36,22000,2001,3842,15,0,0,0,0,0,0,0
291,integra_r_lm_01,3196,36,450000,2002,3842,15,1,0,0,0,0,0,0
293,nsx_r_92,3198,36,97070,1992,3842,15,0,0,0,0,0,0,0
294,garaiya_02,3199,36,65000,2002,11010,47,0,0,0,0,0,0,0
295,dome_zero_78,3200,36,0,1978,11266,48,3,1,0,0,0,0,0
296,_787b_91,3201,36,3500000,1991,5634,21,1,2,0,0,1,1,0
300,fto_lm_race_00,3205,36,1500000,1997,6402,25,1,0,0,0,0,1,0
301,lancer_evo4_96,3206,36,29980,1996,6402,25,0,0,0,0,0,0,0
302,lancer_evo6_gsr_99,3207,36,32480,1999,6402,25,0,0,0,0,0,0,0
304,starion_4wd_gpb_84,3209,36,1250000,1984,6402,25,1,1,0,0,1,1,0
306,cube_x_98,3211,36,14180,1998,6658,28,0,0,0,0,0,0,0
307,s13_ks_91,3212,36,20390,1991,6658,28,0,0,0,0,0,0,0
308,r32_gtst_m_91,3213,36,26610,1991,6658,28,0,0,0,0,0,0,0
309,impreza_wg_wrx_99,3214,36,29190,1999,8962,38,0,0,0,0,0,0,0
311,cien_dmv_02,3216,36,0,2002,12803,54,3,1,0,0,0,0,0
312,camaro_ss_00,3217,36,22150,2000,1795,7,0,0,0,0,0,0,0
313,corvette_cr5_00,3218,36,1000000,2000,1795,7,1,0,0,0,1,1,0
314,viper_gtsr_00,3219,36,0,2000,2819,11,3,1,0,0,0,0,0
315,cobra_67,3220,36,530550,1967,8707,36,0,16,0,1,0,1,0
316,gt40_race_69,3221,36,3500000,1969,3331,13,1,1,0,0,1,1,0
317,mustang_svt_cobrar_00,3222,36,57300,2000,3331,13,0,0,0,0,0,0,0
319,rs6_02,3224,36,117060,2002,1285,5,0,0,0,0,0,0,0
320,tt_00,3225,36,47700,2000,1285,5,0,0,0,0,0,0,0
321,tt_dtm_02,3226,36,550000,2002,1285,5,1,0,0,0,1,1,0
322,_3400s_00,3227,36,77730,2000,8453,35,0,16,0,0,0,1,0
323,opel_astra_race_00,3228,36,550000,2000,6917,29,1,0,0,0,1,1,0
325,opel_corsa_comf_14_3dr_01,3230,36,17960,2001,6917,29,0,0,0,0,0,0,0
326,w12_tmv_01,3231,36,0,2001,10757,46,3,1,0,0,0,1,0
327,coupe_turboplus_00,3232,36,48110,2000,3079,12,0,0,0,0,0,0,0
328,zonda_c12s_gmv_02,3233,36,631680,2002,7175,30,0,0,0,0,0,1,0
329,zonda_race_00,3234,36,1500000,2001,7175,30,1,0,0,0,0,1,0
330,pescarolo_c60_03,3235,36,4500000,2003,7686,77,1,0,0,0,1,1,0
332,_206cc_20_01,3237,36,26520,2001,7686,32,0,16,0,1,0,0,0
334,clio_sport_v6_00,3239,36,50520,2000,8198,34,0,0,0,0,0,0,0
335,clio_sport_race_00,3240,36,450000,2000,8198,34,1,1,0,0,1,1,0
337,s_type_r_02,3242,36,92130,2002,4356,17,0,0,0,0,0,0,1
339,xkr_rperform_02,3244,36,118450,2002,4356,17,0,0,0,0,0,0,1
340,esprit_sport350_00,3245,36,126240,2000,5124,20,0,0,0,0,0,0,0
342,cerbera_speed12_00,3247,36,259970,2000,10244,44,0,2,0,0,0,0,0
343,falcon_xr8_race_00,3248,36,450000,2000,19976,91,1,0,0,0,1,1,0
345,trueno_gt_apex_shigeno_00,3250,36,52500,2000,9986,43,2,0,0,0,0,1,0
346,clix_concept_01,3251,36,0,2001,4105,16,3,1,0,0,0,0,0
348,clk_race_00,3253,36,550000,2000,5893,22,1,1,0,0,1,1,0
349,barchetta_gd_00,3254,36,24060,2000,3079,12,0,16,0,1,0,0,0
350,punto_hgt_abarth_00,3255,36,30030,2000,3079,12,0,0,0,0,0,0,0
351,r32_gtr_stune_00,3256,36,90000,2000,6658,27,2,0,0,0,0,0,0
352,z_act_70,3257,36,15800,1970,3842,15,0,1,0,0,0,1,0
353,mirage_cyborg_zr_97,3258,36,19080,1997,6402,25,0,0,0,0,0,0,0
354,be1_87,3259,36,12930,1987,6658,28,0,0,0,0,0,0,0
355,r30_skyline_ht2000_turbo_rs_83,3260,36,25180,1983,6658,28,0,0,0,0,0,0,0
357,sera_92,3262,36,18810,1992,9986,43,0,0,0,0,0,0,0
358,legacy_b4_20gt_03,3263,36,27300,2003,8962,38,0,0,0,0,0,0,0
359,legacy_wgn_20gt_03,3264,36,28800,2003,8962,38,0,0,0,0,0,0,0
360,saleen_s7_02,3265,36,419130,2002,14083,60,0,0,0,0,0,1,0
361,m3_gtr_alms_01,3266,36,1000000,2001,1541,6,1,1,0,0,1,1,0
362,_190e_evo2_dtm_92,3267,36,1750000,1992,5893,22,1,1,0,0,1,1,0
363,t350c_03,3268,36,74830,2003,10244,44,0,0,0,0,0,0,0
364,golf_r32_3d_03,3269,36,43240,2003,10757,46,0,0,0,0,0,0,0
365,_155_v6ti_dtm_93,3270,36,1250000,1993,775,3,1,1,0,0,1,1,0
366,carol_360_deluxe_62,3271,36,38500,1962,5634,21,0,1,0,0,0,1,0
367,opel_calibra_race_94,3272,36,1750000,1994,6917,29,1,1,0,0,1,1,0
370,nsx_r_01,3275,36,0,2001,3842,15,3,1,0,0,0,0,0
371,prelude_si_vtec_91,3276,36,22050,1991,3842,15,0,0,0,0,0,0,0
372,amuse_s2000_04,3277,36,50000,2004,3842,59,2,0,0,0,0,1,0
376,r89c_89,3281,36,3500000,1989,6658,28,1,1,0,0,1,1,0
377,r30_skyline_ht2000_rsx_tc_84,3282,36,27750,1984,6658,28,0,0,0,0,0,0,0
379,impreza_coupe_wrx_sti6_99,3284,36,30090,1999,8962,38,0,0,0,0,0,0,0
380,corvette_convertible_54,3285,36,100000,1954,1795,7,0,17,0,1,0,1,0
381,srt4_03,3286,36,20640,2003,2819,11,0,0,0,0,0,0,0
382,a2_14_02,3287,36,22400,2002,1285,5,0,0,0,0,0,1,0
383,a3_32_quattro_03,3288,36,42490,2003,1285,5,0,0,0,0,0,0,0
385,_320i_etcc_03,3290,36,450000,2003,1541,6,1,0,0,0,1,1,0
386,v12_lmr_99,3291,36,4500000,1999,1541,6,1,0,0,0,1,1,0
387,_300sl_coupe_54,3292,36,237690,1954,5893,22,0,1,0,0,0,1,0
388,clk_gtr_race_98,3293,36,3500000,1998,5893,22,1,1,0,0,1,1,0
390,opel_tigra_16i_99,3295,36,29140,1999,6917,29,0,0,0,0,0,0,0
392,gtv_30v6_v24_01,3297,36,49060,2001,775,3,0,0,0,0,0,0,0
